Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20096407,Road Maintenance(Engg),Road cutting,2020-12-31 11:33:00.000000000,Bagalagunte,Closed,"After tender,it will be attended.",Ranganath/AEE
20096406,Electrical,Street Light Not Working,2020-12-31 11:30:00.000000000,Subedarapalya,Closed,Attended,Suresh/AEE
20096405,Electrical,Street Light Not Working,2020-12-31 11:28:00.000000000,Agrahara Dasarahalli,Closed,Attended,Suresh/AEE
20096404,Electrical,Street Light Not Working,2020-12-31 11:26:00.000000000,Subramanya Nagar,Closed,Attended,Suresh/AEE
20096403,Electrical,Street Light Not Working,2020-12-31 11:23:00.000000000,Herohalli,Closed,Attended,Gavi Siddiah/AEE
20096402,Electrical,Street Light Not Working,2020-12-31 11:21:00.000000000,Puttenahalli,Closed,Attended,Sandeep/AEE
20096401,Electrical,Street Light Not Working,2020-12-31 11:16:00.000000000,Horamavu,Closed,Attended,Sharath Kumar/AEE
20096400,Electrical,Street Light Not Working,2020-12-31 11:14:00.000000000,Rajarajeshwari Nagar,Closed,Attended,Gavi Siddiah/AEE
20096399,Forest,Removal of dead/fallen trees,2020-12-31 11:12:00.000000000,Nagapura,Resolved,Upload photo mustandstud,sudarshan/DYRFO
20096398,Road Maintenance(Engg),Potholes,2020-12-31 11:10:00.000000000,Rajamahal,Closed,closed,Harsha Nayak/AEE
20096397,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2020-12-31 11:09:00.000000000,Jnanabharathi Ward,Rejected,"Rejected , As per the Officer Information This Complaint has been Rejected  , Commercial property",BBMP Whatsapp/Customer Support Representative
20096396,Electrical,Street Light Not Working,2020-12-31 11:05:00.000000000,Malleshwaram,Closed,Attended,Suresh/AEE
20096395,Solid Waste (Garbage) Related,Dead animal(s),2020-12-31 08:37:00.000000000,Benniganahalli,Closed,Close,Prasanna/AEE
20096394,Road Maintenance(Engg),footpath encroachment,2020-12-31 10:50:00.000000000,Sunkenahalli,Closed,Attended,Pradeep/AEE
20096393,Electrical,Street Light Not Working,2020-12-31 10:44:00.000000000,Kavalbyrasandra,Closed,Attended,Sandeep Singh/AE
20096392,Electrical,Street Light Not Working,2020-12-31 10:41:00.000000000,Dodda Bidarkallu,Closed,Attended,Gavi Siddiah/AEE
20096391,Electrical,Street Light Not Working,2020-12-31 10:39:00.000000000,Banashankari Temple Ward,Closed,Attended,Umesh/AEE
20096390,Electrical,Street Light Not Working,2020-12-31 10:35:00.000000000,Dharmarayaswamy Temple Ward,Closed,Attended,Jnanesh/AEE
