Zone & Location,Streetlight Code,Landmark,Type of Streetlight,Remarks,Condition on 17-June-19,Condition on 2-July-19
Z4 7th Cross from Cgm Road,Z4-7C-01,Near Cgm Rd Corner,LED,,ok,dead
Z4 7th Cross from Cgm Road,,NEW SL REQD,,Pole Present,,
Z4 7th Cross from Cgm Road,Z4-7C-02,Emb. Woods Out Gate,Sodium,check4pruning,ok,ok
Z4 7th Cross from Cgm Road,Z4-7C-03,Donata,Sodium,,ok,ok
Z4 7th Cross from Cgm Road,Z4-7C-04,Rajhans,Sodium,,ok,ok
Z4 7th Cross from Cgm Road,,,,,,
Z4 7th Cross from Cgm Road,Z4-7C-05,Mandoth Tower,Sodium,,ok,ok
Z4 7th Cross from Cgm Road,Z4-7C-06,14th Main Corner,Sodium,,ok,ok
Z4 7th Cross from Cgm Road,,NEW SL REQD,,Pole Absent,,
Z4 7th Cross from Cgm Road,Z4-7C-07,11th Main Corner,Sodium,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-01,7th Cross Corner,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-02,Thatte Idli,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-03,Kishore Singh Resi.,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-04,Murthy Medicals,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-05,Suraj Xerox shop,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-06,5th Cross Corner,LED,,dead,ok
Z4 8th Main from 7th Cross,Z4-8M-07,4th Cross Corner,LED,,dead,dead
Z4 8th Main from 7th Cross,Z4-8M-08,3rd Cross Corner,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-09,2nd Cross Corner,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-10,Kalyan Shetty Resi.,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-11,1st Corner,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-12,next to Corp Bank ATM,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-13,Wolfpack1,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-14,Wolfpack2,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-15,1st A Cross,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-16,Desserted,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-17,MCC Institute,LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-01,MCC1,Sodium,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-02,MCC2,LED,,dead,ok
Z4 Palace Road from 8th Main,Z4-PR-03,MCC3,LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-04,MCC4,LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-05,CCD,LED,,dead,dead
Z4 Palace Road from 8th Main,Z4-PR-06,Shivaligaiah Resi.,LED,,ok,ok
Z4 Palace Road from 8th Main,,NEW SL REQD,,Pole Present,,
Z4 Palace Road from 8th Main,Z4-PR-07,I BHAAN (Niton),LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-08,I NATURE 1 (Niton),LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-09,I NATURE 2 (Niton),LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-10,Cgm Rd Rt Turn Corner,LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-11,Cgm Rd Lt Turn Corner,LED,,ok,ok
Z4 Cunn Road from Palace Road,,,,,,POLE ABSENT
Z4 Cunn Road from Palace Road,Z4-CR-01,opp HM Realtors,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-02,Bus Stand,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-03,opp Bus Stand,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-04,Neofoods(Niton),LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-05,Opp Old SBM,LED,POLE ABSENT,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-06,Outside CIE 1,LED,check4pruning,dead,dead
Z4 Cunn Road from Palace Road,Z4-CR-07,Opp CIE,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-08,Outside CIE 2,LED,,dead,dead
Z4 Cunn Road from Palace Road,Z4-CR-09,Sai Leela,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-10,Emb. Woods Mn Gate,LED,,dead,dead
Z4 Cunn Road from Palace Road,Z4-CR-11,FAT Buddha,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-12,Embassy Links,LED,check4pruning,dead,dead
Z4 14th Main from 7th Cross,Z4-14M-01,Mandoth Resi.,Sodium,,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-02,Alur Resi.,Sodium,,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-03,Hebbar Resi.,Sodium,,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-04,Mallya,Sodium,check4pruning,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-05,Madhu Bhandari Resi.,Sodium,check4pruning,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-06,Vasanta Costa,Sodium,check4pruning,ok,ok
Z4 14th Main from 7th Cross,,NEW SL REQD,,Pole Absent,,
Z4 14th Main from 7th Cross,Z4-14M-07,2nd Cross Corner,Sodium,,ok,ok
Z4 13th Main fom 2nd Cr,Z4-13M-01,New Apartment,Sodium,,dead,ok
Z4 13th Main fom 2nd Cr,Z4-13M-02,1st Cross Corner,Sodium,,ok,ok
Z4 13th Main fom 2nd Cr,Z4-13M-03,Everstone,Sodium,,ok,ok
Z4 13th Main fom 2nd Cr,Z4-13M-04,IOC Apartment,Sodium,,ok,ok
Z4 13th Main fom 2nd Cr,Z4-13M-05,Naveen 1,Sodium,,ok,ok
Z4 13th Main fom 2nd Cr,Z4-13M-06,Naveen 2,Sodium,,ok,ok
Z4 13th Main fom 2nd Cr,Z4-13M-07,Seetha Ramachandra 1,Sodium,,ok,ok
Z4 13th Main fom 2nd Cr,Z4-13M-08,Seetha Ramachandra 2,Sodium,,ok,ok
Z4 12th Main from Palace Road,Z4-12M-01,SRM,Sodium,,ok,ok
Z4 12th Main from Palace Road,Z4-12M-02,Mali Patil,Sodium,,ok,ok
Z4 12th Main from Palace Road,Z4-12M-03,Ullal 1,Sodium,,ok,ok
Z4 12th Main from Palace Road,Z4-12M-04,Ullal 2,Sodium,,ok,ok
Z4 12th Main from Palace Road,Z4-12M-05,Dr. Prabhu Clinic,Sodium,,ok,ok
Z4-1st Cr from 8th Main,,NEW SL REQD,,Pole Absent,,
Z4-1st Cr from 8th Main,Z4-1C-01,Balu-Charu,Sodium,,ok,ok
Z4-1st Cr from 8th Main,Z4-1C-02,Mount Print Zone,Sodium,,ok,ok
Z4-1st Cr from 8th Main,Z4-1C-03,P. G.,Sodium,,ok,ok
Z4 2nd Cr from 8th Main,Z4-2C-01,Anand Resi.,Sodium,,ok,ok
Z4 2nd Cr from 8th Main,Z4-2C-02,Porwal 1,Sodium,,ok,ok
Z4 2nd Cr from 8th Main,Z4-2C-03,Porwal 2,Sodium,,ok,ok
Z4 2nd Cr from 8th Main,Z4-2C-04,Lalitha Srinivasan,Sodium,,ok,ok
Z4 3rd Cr from 8th Main,,NEW SL REQD,,Pole Absent,,
Z4 3rd Cr from 8th Main,Z4-3C-01,Opp Roller Toaster,Sodium,,ok,ok
Z4 3rd Cr from 8th Main,Z4-3C-02,Diag. opp Suresh BM,Sodium,,ok,ok
Z4 3rd Cr from 8th Main,Z4-3C-03,Ex Ravi Dish office,Sodium,,ok,ok
Z4 3rd Cr from 8th Main,Z4-3C-04,Surana's,Sodium,,ok,ok
Z4 4th Cross from 8th Main,Z4-4C-01,8th Main Corner,Sodium,,ok,ok
Z4 4th Cross from 8th Main,Z4-4C-02,House No. 2,Sodium,,ok,ok
Z4 4th Cross from 8th Main,Z4-4C-03,House Milan,Sodium,,ok,ok
Z4 4th Cross from 8th Main,Z4-4C-04,Anitha Boutique,Sodium,,ok,ok
Z4 5th Cross from 8th Main,Z4-5C-01,Andrew  Resi.,Sodium,,ok,ok
Z4 5th Cross from 8th Main,Z4-5C-02,P. G.,Sodium,,ok,ok
Z4 11th Main from 5th Cross,Z4-11M-01,opp Dental Clinic,Sodium,,ok,ok
Z4 11th Main from 5th Cross,Z4-11M-02,P. S. Chandrashekar,Sodium,,ok,dead
Z4 11th Main from 5th Cross,Z4-11M-03,Anil Kumar S. R.,Sodium,check4pruning,ok,ok
Z4 10th Main from 7th Cross,Z4-10M-01,Jagdish Lawyer,Sodium,,ok,ok
Z4 10th Main from 7th Cross,Z4-10M-02,Opp Gadadhar,Sodium,,ok,ok
Z4 10th Main from 7th Cross,Z4-10M-03,Opp Abdul Rehman,Sodium,,ok,ok
Z4 10th Main from 7th Cross,Z4-10M-04,Mount Crest School,Sodium,,ok,ok
Z1 MCC Road from Rly Line,,NEW SL REQD,,Pole Absent,,
Z1 MCC Road from Rly Line,Z1-MCC-01,Art Houz 1,Sodium,,ok,ok
Z1 MCC Road from Rly Line,Z1-MCC-02,Art Houz 2,Sodium,check4pruning,ok,dead
Z1 MCC Road from Rly Line,,NEW SL REQD,,Pole Present,,
Z1 MCC Road from Rly Line,Z1-MCC-03,Nr Emb. Hab. Mn Gate,Sodium,,ok,ok
Z1 MCC Road from Rly Line,Z1-MCC-04,Nr MCC Mn Gate,Sodium,,ok,ok
Z1 MCC Road from Rly Line,,NEW SL REQD,,Pole Absent,,
Z1 MCC Road from Rly Line,Z1-MCC-05,Nr Palace Rd Junction,Sodium,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-01,Multi-Light Mast 1,Sodium,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-02,Multi-Light Mast 2,Sodium,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-03,Multi-Light Mast 3,Sodium,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-04,Multi-Light Mast 4,Sodium,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-05,Pole 2,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-06,Pole 2,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-07,Pole 3,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-08,Pole 3,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-09,Pole 4,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-10,Pole 4,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-11,Pole 5,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-12,Pole 5,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-13,Pole 6,LED,,dead,dead
Z1 Palace Road from 8th Main,Z1-PR-14,Pole 6,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-15,Pole 7,LED,,ok,ok
Z1 Palace Road from 8th Main,Z1-PR-16,Pole 7,LED,,ok,ok
Z1 1st Main from Rly Underpass,,NEW SL REQD,,Camera Pole,,
Z1 1st Main from Rly Underpass,,NEW SL REQD,,Camera Pole,,
Z1 1st Main from Rly Underpass,Z1-1M-01,Median Pole 1,Sodium,,ok,dead
Z1 1st Main from Rly Underpass,Z1-1M-02,Median Pole 1,Sodium,,ok,dead
Z1 1st Main from Rly Underpass,Z1-1M-03,Median Pole 2,Sodium,,ok,dead
Z1 1st Main from Rly Underpass,Z1-1M-04,Median Pole 2,Sodium,,ok,dead
Z1 1st Main from Rly Underpass,Z1-1M-05,Median Pole 3,Sodium,,ok,dead
Z1 1st Main from Rly Underpass,Z1-1M-06,Median Pole 3,Sodium,,dead,dead
Z1 1st Main from Rly Underpass,Z1-1M-07,Median Pole 4,Sodium,,dead,dead
Z1 1st Main from Rly Underpass,Z1-1M-08,Median Pole 4,Sodium,,dead,dead
Z1 1st Main from Rly Underpass,Z1-1M-11,Before VWWA School,Sodium,check4pruning,ok,ok
Z1 1st Main from Rly Underpass,Z1-1M-12,Opp VWWA School,LED,,dead,dead
Z1 1st Main from Rly Underpass,Z1-1M-13,Opp VWWA School,LED,,ok,ok
Z1 1st Main from Rly Underpass,Z1-1M-14,opp 7th Crs Corner,LED,,dead,dead
Z1 7th Cross from 1st Main,Z1-7C-01,Hopcoms,Sodium,,dead,ok
Z1 7th Cross from 1st Main,Z1-7C-02,opp Hopcoms,LED,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-03,opp Ambedkar Colony1,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-04,opp Ambedkar Colony2,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-05,opp Ambedkar Colony3,Sodium,,dead,ok
Z1 7th Cross from 1st Main,Z1-7C-06,1st CROSS to 6th Crs,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-07,Corner of 1st CROSS,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-08,Dentinova Clinic,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-09,2nd CROSS to 6th Crs,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-10,Corner of 2nd CROSS,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-11,Wrestling Assn.,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-12,Surana Villa,Sodium,,dead,ok
Z1 7th Cross from 1st Main,Z1-7C-13,3rd CROSS to 6th Crs,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-14,opp BBMP Complex 1,Sodium,check4pruning,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-15,opp BBMP Complex 2,Sodium,check4pruning,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-16,opp BBMP Complex 3,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-17,7th Mn Corner,Sodium,,ok,ok
Z1 7th Cross from 1st Main,Z1-7C-18,7th A Mn Corner,Sodium,,ok,ok
Z1 7th A Main from 7th Cross,Z1-7AM-01,,Sodium,,ok,ok
Z1 7th A Main from 7th Cross,Z1-7AM-02,,Sodium,check direction dead,,ok
Z1 6th Cross from 8th Main,Z1-6C-01,Jn with 8th Main,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-02,Govt Qtrs - C104,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-03,Govt Qtrs - C102,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-04,Govt Qtrs - C101,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-05,Corner with 7th Main 1,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-06,Corner with 7th Main 2,Sodium,,dead,ok
Z1 6th Cross from 8th Main,Z1-6C-07,Jn with 3rd CROSS(to7C),Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-08,Jn with 2nd CROSS(to 7C) ,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-09,Nr Petty Shop,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-10,Outside Aarthi Resi,Sodium,,ok,ok
Z1 6th Cross from 8th Main,,NEW SL REQD,Cons. Lane,Wall Present,,
Z1 6th Cross from 8th Main,Z1-6C-11,H No. 43 (nr 1st CROSS),Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-12,Muniraju,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-13,opp H No. 48,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-14,Lane next to H No. 48,Sodium,,ok,ok
Z1 6th Cross from 8th Main,Z1-6C-15,BBMP Small Park,Sodium,,ok,ok
Z1 Loop Road from 5th Cross,Z1-LR-01,Aishwaria Shop,Sodium,check4pruning,ok,ok
Z1 Loop Road from 5th Cross,Z1-LR-02,3rd Crs Corner,Sodium,check4pruning,ok,ok
