Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20374182,Advertisement,Flex and banners,2023-07-17 08:46:00.000000000,Sagayapuram,Closed,Already Removed Flex Banners,Niranjan Murthy/ARO
20374181,Forest,obstructions Branches / Trees.,2023-07-17 08:45:00.000000000,Yadiyuru,Closed,Resolved,Shivanna T.C/DYRFO
20374180,Electrical,Street Light Not Working,2023-07-17 08:45:00.000000000,Jeevanbhima Nagar,Closed,Antended,Durga Prasad/AEE
20374179,Electrical,Street Light Not Working,2023-07-17 08:43:00.000000000,Pattabhiram Nagar,Closed,Attended,Umesh/AEE
20374178,Road Infrastructure,Road Infrastructure,2023-07-17 08:42:00.000000000,Thanisandra,Closed,resolved,Smt.Shwetha N.R/AEE
20374177,Electrical,Street Light Not Working,2023-07-17 08:39:00.000000000,Jaraganahalli,Closed,Attended,Sandeep/AEE
20374176,Electrical,Street Light Not Working,2023-07-17 08:36:00.000000000,HSR Layout,Closed,Attended,Sandeep/AEE
20374175,Electrical,Street Light Not Working,2023-07-17 08:35:00.000000000,Jakkur,Closed,Resolved,Yelahanka AEE Electrical/AEE
20374174,Electrical,Street Light Not Working,2023-07-17 08:33:00.000000000,Jnanabharathi Ward,Closed,attended,Gavi Siddiah/AEE
20374173,Electrical,Street Light Not Working,2023-07-17 08:31:00.000000000,Jnanabharathi Ward,Closed,attended,Gavi Siddiah/AEE
20374172,Electrical,Street Light Not Working,2023-07-17 08:25:00.000000000,Newthippasandra,Closed,Antended,Durga Prasad/AEE
20374171,Electrical,Street Light Not Working,2023-07-17 08:22:00.000000000,Jayangar,Closed,Attended,Jnanesh/AEE
20374170,Electrical,Street Light Not Working,2023-07-17 08:21:00.000000000,Aramane Nagar,Closed,ATTENDED,Suresh/AEE
20374169,Electrical,Street Light Not Working,2023-07-17 08:20:00.000000000,Someshwara,Closed,Resolved,Yelahanka AEE Electrical/AEE
20374168,Health Dept,Increase in mosquito density,2023-07-17 08:19:00.000000000,Jakkur,Closed,resolved,Naveen Kumar M/MOH
20374167,Electrical,Street Light Not Working,2023-07-17 08:16:00.000000000,Singasandra,Closed,Attended,Sandeep/AEE
20374166,Electrical,Street Light Not Working,2023-07-17 08:07:00.000000000,Vijanapura,Closed,Attended,Sharath Kumar/AEE
20374165,Electrical,Street Light Not Working,2023-07-17 08:04:00.000000000,Herohalli,Closed,attended,Gavi Siddiah/AEE
20374164,Road Maintenance(Engg),Road side drains,2023-07-17 08:02:00.000000000,Yelachenahalli,Closed,Closed,ROHIT T/AEE
20374163,Electrical,Street Light Not Working,2023-07-17 07:59:00.000000000,Attiguppe,Closed,Attended,Umesh/AEE
