Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20318322,Solid Waste (Garbage) Related,Dead animal(s),2022-12-31 05:43:00.000000000,Agrahara Dasarahalli,Closed,Problem solved,Ranganath/JHI
20318316,Electrical,Street Light Not Working,2022-12-31 11:46:00.000000000,Kempapura Agrahara,Closed,Attended,Umesh/AEE
20318315,Electrical,Street Light Not Working,2022-12-31 11:33:00.000000000,Ullalu,Closed,ATTENDED,Gavi Siddiah/AEE
20318314,Electrical,Street Light Not Working,2022-12-31 11:31:00.000000000,Lingarajapuram,Closed,Attended,Durga Prasad/AEE
20318313,Electrical,Street Light Not Working,2022-12-31 11:23:00.000000000,Vasanth Nagar,Closed,Antended,Sandeep Singh/AEE
20318312,Electrical,Street Light Not Working,2022-12-31 11:12:00.000000000,Sagayapuram,Closed,Antended,Sandeep Singh/AEE
20318311,veterinary,Animal birth control/neutering of stray dogs,2022-12-31 10:59:00.000000000,Hosakerehalli,Closed,.,M G Halli/ADAH
20318310,Electrical,Street Light Not Working,2022-12-31 10:42:00.000000000,Ullalu,Closed,ATTENDED,Gavi Siddiah/AEE
20318309,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2022-12-31 10:41:00.000000000,Jnanabharathi Ward,Closed,C,Prakash /AEE
20318308,Road Maintenance(Engg),footpath encroachment,2022-12-31 10:29:00.000000000,Vidyaranyapura,Closed,Resolved,Beeresh/AEE
20318307,Electrical,Street Light Not Working,2022-12-31 10:27:00.000000000,Bellandur,Closed,Attended,Sharath Kumar/AEE
20318306,Electrical,Street Light Not Working,2022-12-31 10:22:00.000000000,Ganga Nagar,Closed,Antended,Sandeep Singh/AEE
20318305,Electrical,Street Light Not Working,2022-12-31 10:17:00.000000000,Bommanahalli,Closed,Attended,Sandeep/AEE
20318304,Solid Waste (Garbage) Related,Sweeping not done,2022-12-31 10:14:00.000000000,Hemmigepura,Closed,Attended,Smt Poornima J B/AEE
20318303,Electrical,Street Light Not Working,2022-12-31 10:10:00.000000000,Sampangiram Nagar,Closed,Antended,Sandeep Singh/AEE
20318302,Electrical,Street Light Not Working,2022-12-31 10:00:00.000000000,Kempegowda Ward,Closed,Resolved,Yelahanka AEE Electrical/AEE
20318301,Electrical,Street Light Not Working,2022-12-31 09:38:00.000000000,Shiva Nagar,Closed,ATTENDED,Suresh/AEE
20318300,Electrical,Street Light Not Working,2022-12-31 09:31:00.000000000,Gottigere,Closed,Attended,Sandeep/AEE
20318299,Electrical,Street Light Not Working,2022-12-31 09:21:00.000000000,Manorayanapalya,Closed,Antended,Sandeep Singh/AEE
20318298,Electrical,Street Light Not Working,2022-12-31 09:20:00.000000000,Subedarapalya,Closed,ATTENDED,Suresh/AEE
20318297,Electrical,Street Light Not Working,2022-12-31 09:16:00.000000000,Sri Rammandira,Closed,attended,Suresh/AEE
20318296,Electrical,Street Light Not Working,2022-12-31 09:12:00.000000000,Manorayanapalya,Closed,Antended,Sandeep Singh/AEE
20318295,Electrical,Street Light Not Working,2022-12-31 09:06:00.000000000,Dodda Bidarkallu,Closed,ATTENDED,Gavi Siddiah/AEE
20318294,Electrical,Street Light Not Working,2022-12-31 08:50:00.000000000,Jnanabharathi Ward,Closed,ATTENDED,Gavi Siddiah/AEE
20318293,Electrical,Street Light Not Working,2022-12-31 08:47:00.000000000,Giri Nagar,Closed,Attended,Jnanesh/AEE
20318292,Electrical,Street Light Not Working,2022-12-31 08:46:00.000000000,Dr.Rajkumar Ward,Closed,ATTENDED,Suresh/AEE
20318291,Electrical,Street Light Not Working,2022-12-31 08:44:00.000000000,Sri Rammandira,Closed,ATTENDED,Suresh/AEE
20318290,Road Infrastructure,Road Infrastructure,2022-12-31 08:42:00.000000000,Nagapura,Closed,Attended,Manjunath/AEE
20318289,Electrical,Street Light Not Working,2022-12-31 08:36:00.000000000,Bagalagunte,Closed,Attended,Gurappa Y Doddamani/AEE
20318288,Electrical,Street Light Not Working,2022-12-31 08:36:00.000000000,HSR Layout,Closed,Attended,Sandeep/AEE
20318287,Road Maintenance(Engg),Potholes,2022-12-31 08:36:00.000000000,Nagapura,Closed,Attended,Ranganatha H/AEE
20318286,veterinary,Stray dog related complaints,2022-12-31 08:33:00.000000000,Chikpete,Closed,Attended,Dr.Amruthesh/ADAH
20318285,Electrical,Street Light Not Working,2022-12-31 08:31:00.000000000,Nandini Layout,Closed,ATTENDED,Suresh/AEE
20318284,Electrical,Street Light Not Working,2022-12-31 08:18:00.000000000,Yelahanka old Satellite Town,Closed,Resolved,Yelahanka AEE Electrical/AEE
20318283,Electrical,Street Light Not Working,2022-12-31 08:18:00.000000000,Begur,Closed,Attended,Sandeep/AEE
20318282,Electrical,Street Light Not Working,2022-12-31 08:16:00.000000000,Shiva Nagar,Closed,ATTENDED,Suresh/AEE
20318281,Electrical,Street Light Not Working,2022-12-31 08:16:00.000000000,Singasandra,Closed,Attended,Sandeep/AEE
20318280,Electrical,Street Light Not Working,2022-12-31 08:14:00.000000000,Radhakrishna Temple,Closed,Antended,Sandeep Singh/AEE
20318279,Electrical,Street Light Not Working,2022-12-31 08:12:00.000000000,Begur,Closed,Attended,Sandeep/AEE
20318278,Lakes,Sewage inflow to lake,2022-12-31 08:12:00.000000000,Bellandur,Closed,Attended.,Sapna.N.K/AEE
20318277,Electrical,Street Light Not Working,2022-12-31 07:59:00.000000000,Hemmigepura,Closed,ATTENDED,Gavi Siddiah/AEE
20318276,Electrical,Street Light Not Working,2022-12-31 07:56:00.000000000,Kuvempu Nagar,Closed,Resolved,Yelahanka AEE Electrical/AEE
20318275,Electrical,Street Light Not Working,2022-12-31 07:55:00.000000000,Kacharakanahalli,Closed,Attended,Durga Prasad/AEE
20318274,Lakes,Dumping of garbage into lake,2022-12-31 07:53:00.000000000,Singasandra,Closed,The issue has been intimated to our lake home guard to stop the future dumping & burning of garbage in lake premises,Usha Rani/AE
20318273,Road Maintenance(Engg),Road side drains,2022-12-31 07:50:00.000000000,Agrahara Dasarahalli,Closed,Resolved,Alok Sheety/AEE
20318272,Electrical,Street Light Not Working,2022-12-31 07:48:00.000000000,Kottigepalya,Closed,ATTENDED,Gavi Siddiah/AEE
20318271,Electrical,Street Light Not Working,2022-12-31 07:45:00.000000000,Someshwara,Closed,Resolved,Yelahanka AEE Electrical/AEE
20318270,Electrical,Street Light Not Working,2022-12-31 07:45:00.000000000,Bellandur,Closed,Attended,Sharath Kumar/AEE
20318269,Electrical,Street Light Not Working,2022-12-31 07:44:00.000000000,Kamakshipalya,Closed,ATTENDED,Suresh/AEE
20318268,Electrical,Street Light Not Working,2022-12-31 07:42:00.000000000,Ramamurthy Nagar,Closed,Attended,Sharath Kumar/AEE
20318267,Road Maintenance(Engg),Potholes,2022-12-31 07:37:00.000000000,Yadiyuru,Closed,Cleared,Yatish/AEE
20318266,Electrical,Street Light Not Working,2022-12-31 07:23:00.000000000,Kengeri,Closed,ATTENDED,Gavi Siddiah/AEE
20318265,Electrical,Street Light Not Working,2022-12-31 07:21:00.000000000,Shettyhalli,Closed,Attended,Gurappa Y Doddamani/AEE
20318264,Forest,Removal of dead/fallen trees,2022-12-31 07:21:00.000000000,Hampi Nagar,Closed,ದೂರನ್ನು ನಿರ್ವಹಿಸಲಾಗಿದೆ,Shivanna T.C/DYRFO
20318263,Electrical,Street Light Not Working,2022-12-31 07:17:00.000000000,Hoodi,Closed,Attended,Sharath Kumar/AEE
20318262,Lakes,Sewage inflow to lake,2022-12-31 07:13:00.000000000,Singasandra,Closed,The contaminant /sludge formed in the lake has been cleaned/removed & the issue has been resolved.,Usha Rani/AE
20318261,Electrical,Street Light Not Working,2022-12-31 06:57:00.000000000,Jayamahal,Closed,Antended,Sandeep Singh/AEE
20318260,Electrical,Street Light Not Working,2022-12-31 06:57:00.000000000,Basavanapura,Closed,Attended,Sharath Kumar/AEE
20318259,Electrical,Street Light Not Working,2022-12-31 06:54:00.000000000,Rajaji Nagar,Closed,ATTENDED,Suresh/AEE
20318258,veterinary,Stray dog related complaints,2022-12-31 06:53:00.000000000,Bellandur,Closed,Attended,Mohan/ADAH
20318257,veterinary,Anti Rabies Vaccination of stray dogs,2022-12-31 06:52:00.000000000,Bellandur,Closed,Attended,Mohan/ADAH
20318256,veterinary,Animal birth control/neutering of stray dogs,2022-12-31 06:50:00.000000000,Bellandur,Closed,Attended,Mohan/ADAH
20318255,Lakes,Lake not maintained properly,2022-12-31 06:40:00.000000000,Singasandra,Closed,The sludge formation in the lake is being cleaned/removed. And the issue is resolved.,Usha Rani/AE
20318254,Solid Waste (Garbage) Related,Sweeping not done,2022-12-31 06:32:00.000000000,Vidyaranyapura,Closed,Drink,Shivakumar/AEE
20318253,Lakes,Sewage inflow to lake,2022-12-31 06:26:00.000000000,Bellandur,Closed,Attended.,Sapna.N.K/AEE
20318252,Electrical,Street Light Not Working,2022-12-31 06:22:00.000000000,Gottigere,Closed,Attended,Sandeep/AEE
20318251,Solid Waste (Garbage) Related,Burning of Garbage in Open Space,2022-12-31 06:20:00.000000000,Ejipura,Closed,"As attended by junior health inspector, the complaint is closed. If issue persist please contact junior health inspector. Do practice segregation of waste at source & handover to BBMP collection system. Encourage others. Help BBMP to serve you better.",Santoshkumar/AEE
20318250,Electrical,Street Light Not Working,2022-12-31 06:12:00.000000000,Aramane Nagar,Closed,ATTENDED,Suresh/AEE
20318249,Electrical,Street Light Not Working,2022-12-31 06:12:00.000000000,Aramane Nagar,Closed,ATTENDED,Suresh/AEE
20318248,Electrical,Street Light Not Working,2022-12-31 06:09:00.000000000,Someshwara,Closed,Resolved,Yelahanka AEE Electrical/AEE
20318247,Electrical,Street Light Not Working,2022-12-31 06:04:00.000000000,Vignana Nagar,Closed,Attended,Sharath Kumar/AEE
20318246,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2022-12-31 06:01:00.000000000,Pulikeshi Nagar,Closed,Closed,Uma Shankar /Nodel Officer
20318245,Electrical,Street Light Not Working,2022-12-31 05:59:00.000000000,Pulikeshi Nagar,Closed,Antended,Sandeep Singh/AEE
20318244,Solid Waste (Garbage) Related,Garbage dump,2022-12-31 05:50:00.000000000,Konena Agrahara,Closed,Cleared,Prasanna/AEE
20318243,Electrical,Earthing Issue relate to Electric Poles/Panel Boards,2022-12-31 05:47:00.000000000,Bellandur,Closed,Attended,Sharath Kumar/AEE
20318242,Electrical,Street Light Not Working,2022-12-31 05:39:00.000000000,Chikkalasandra,Closed,Attended,Umesh/AEE
20318241,Solid Waste (Garbage) Related,Dead animal(s),2022-12-31 05:36:00.000000000,Banashankari Temple Ward,Closed,Attended,Manjunatha T R/AEE
20318240,Electrical,Street Light Not Working,2022-12-31 05:29:00.000000000,Shivaji Nagar,Closed,Antended,Sandeep Singh/AEE
20318239,Electrical,Street Light Not Working,2022-12-31 05:28:00.000000000,Banaswadi,Closed,Attended,Durga Prasad/AEE
20318238,Advertisement,Flex and banners,2022-12-31 05:16:00.000000000,Jayangar,Registered,Transferred Task,Jyothi Lakshmi S/ARO
20318237,veterinary,Stray cattle related complaints,2022-12-31 05:03:00.000000000,Sarvagna Nagar,Closed,\N,DR Mallappa Devadu/ADAH
20318236,Solid Waste (Garbage) Related,Garbage nuisance while transporting,2022-12-31 04:56:00.000000000,Mathikere,Closed,Closed,Uma Shankar /Nodel Officer
20318235,Electrical,Street Light Not Working,2022-12-31 04:55:00.000000000,Ramamurthy Nagar,Closed,Attended,Sharath Kumar/AEE
20318234,Solid Waste (Garbage) Related,Garbage nuisance while transporting,2022-12-31 04:42:00.000000000,Mathikere,Closed,Closed,Uma Shankar /Nodel Officer
20318233,Electrical,Street Light Not Working,2022-12-31 04:41:00.000000000,Jakkur,Closed,Resolved,Yelahanka AEE Electrical/AEE
20318232,Electrical,Street Light Not Working,2022-12-31 04:39:00.000000000,Begur,Closed,Attended,Sandeep/AEE
20318231,Revenue Department,"Khata Services (Registration, Transfer, Bifurcation and Amalgamation)",2022-12-31 04:33:00.000000000,Nagapura,Closed,RESOLVED,Adinath Chougala/ARO
20318230,Electrical,Street Light Not Working,2022-12-31 04:27:00.000000000,Ullalu,Closed,ATTENDED,Gavi Siddiah/AEE
20318229,Solid Waste (Garbage) Related,Garbage dump,2022-12-31 04:20:00.000000000,A.Narayanapura,Closed,Clear sir,JHI Ward 56/JHI
20318228,Electrical,Street Light Not Working,2022-12-31 04:19:00.000000000,Hoodi,Closed,Attended,Sharath Kumar/AEE
20318227,Electrical,Street Light Not Working,2022-12-31 03:59:00.000000000,Giri Nagar,Closed,Attended,Jnanesh/AEE
20318226,Electrical,Street Light Not Working,2022-12-31 03:57:00.000000000,Basavanapura,Closed,Attended,Sharath Kumar/AEE
20318225,Road Maintenance(Engg),Road cutting,2022-12-31 03:56:00.000000000,Begur,Closed,action initiated,Nilkanthaya/AEE
20318224,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2022-12-31 03:55:00.000000000,Someshwara,Closed,cleared,SWM AEE Ward 1 to 4/AEE
20318223,Solid Waste (Garbage) Related,Dead animal(s),2022-12-31 03:54:00.000000000,Varthur,Closed,Attended,SWM AEE Mahadevapura sub division/AEE
20318222,Electrical,Street Light Not Working,2022-12-31 03:47:00.000000000,Doddabommasandra,Closed,Resolved,Yelahanka AEE Electrical/AEE
20318221,Electrical,Street Lights Switched On During Day Time,2022-12-31 03:43:00.000000000,Nagarabhavi,Closed,ATTENDED,Suresh/AEE
20318220,Electrical,Street Light Not Working,2022-12-31 03:39:00.000000000,Rajarajeshwari Nagar,Closed,ATTENDED,Gavi Siddiah/AEE
20318219,Road Maintenance(Engg),Road cutting,2022-12-31 03:31:00.000000000,Bommanahalli,Closed,Solvid,Ramesh Deva/AEE
20318218,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2022-12-31 03:13:00.000000000,Hoysala Nagar,Closed,Cleared,Prasanna/AEE
20318217,Electrical,Street Light Not Working,2022-12-31 03:09:00.000000000,J.P.Nagar,Closed,Attended,Umesh/AEE
20318216,Electrical,Street Light Not Working,2022-12-31 03:04:00.000000000,Herohalli,Closed,ATTENDED,Gavi Siddiah/AEE
20318215,Electrical,Open Electrical Junction Box,2022-12-31 02:52:00.000000000,Sudduguntepalya,Closed,Attended,Jnanesh/AEE
20318214,Electrical,Street Light Not Working,2022-12-31 02:38:00.000000000,Basavanagudi,Closed,Attended,Jnanesh/AEE
20318213,Electrical,Street Light Not Working,2022-12-31 02:38:00.000000000,Basavanapura,Closed,Attended,Sharath Kumar/AEE
20318212,Electrical,Street Light Not Working,2022-12-31 02:38:00.000000000,Agrahara Dasarahalli,Closed,ATTENDED,Suresh/AEE
20318211,Road Maintenance(Engg),Footpath,2022-12-31 02:32:00.000000000,Pattabhiram Nagar,Closed,Closed,Uma Shankar /Nodel Officer
20318210,Health Dept,Air/Noise pollution,2022-12-31 02:30:00.000000000,Chamrajpet,Closed,Attended,Dr Rajendra/MOH
20318209,Electrical,Street Light Not Working,2022-12-31 02:29:00.000000000,Vasanthapura,Closed,Attended,Sandeep/AEE
20318208,Road Maintenance(Engg),Debris Removal / Construction Material,2022-12-31 02:24:00.000000000,HSR Layout,Closed,closed,Y M Raju/AEE
