Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20260658,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2021-12-17 10:24:00.000000000,Bellandur,Closed,"As per citizen conformation,so this complaint has been closed",SWM AEE Mahadevapura sub division/AEE
20260657,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2021-12-17 10:21:00.000000000,Bellandur,Closed,Attended,SWM AEE Mahadevapura sub division/AEE
20260656,Solid Waste (Garbage) Related,Sweeping not done,2021-12-17 10:20:00.000000000,Bellandur,Closed,"As per citizen conformation,so this complaint has been closed",SWM AEE Mahadevapura sub division/AEE
20260655,Solid Waste (Garbage) Related,Sweeping not done,2021-12-17 10:18:00.000000000,Bellandur,Closed,Attended,SWM AEE Mahadevapura sub division/AEE
20260654,Solid Waste (Garbage) Related,Sweeping not done,2021-12-17 10:17:00.000000000,Bellandur,Closed,"As per citizen conformation,so this complaint has been closed",SWM AEE Mahadevapura sub division/AEE
20260653,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2021-12-17 10:03:00.000000000,Benniganahalli,Rejected,this complaint belongs to Out of BBMP this complaint will be rejected,BBMP Whatsapp/Customer Support Representative
20260652,Solid Waste (Garbage) Related,Public dustbins not cleaned,2021-12-17 09:49:00.000000000,Benniganahalli,Rejected,"Rejected , This complaint is not comes under BBMP Limit, Please visit nearest Panchayat office, Thank you.",BBMP Whatsapp/Customer Support Representative
20260651,Solid Waste (Garbage) Related,Sweeping not done,2021-12-17 08:59:00.000000000,Rajarajeshwari Nagar,Closed,C,Prakash /AEE
20260650,Solid Waste (Garbage) Related,Dead animal(s),2021-12-16 01:34:00.000000000,Benniganahalli,Rejected,"Rejected , This complaint is not comes under BBMP Limit, Please visit nearest Panchayat office, Thank you.",BBMP Whatsapp/Customer Support Representative
20260649,Solid Waste (Garbage) Related,Sweeping not done,2021-12-16 07:19:00.000000000,Cottonpet,Closed,Resolved,Sapna/AEE
20260648,Solid Waste (Garbage) Related,Garbage dump,2021-12-15 05:53:00.000000000,Hosakerehalli,Closed,Attended,Manjunatha T R/AEE
20260647,Solid Waste (Garbage) Related,Garbage dump,2021-12-15 04:55:00.000000000,Byatarayanapura,Closed,Attended,Shivakumar/AEE
20260646,Solid Waste (Garbage) Related,Garbage dump,2021-12-15 04:51:00.000000000,Nandini Layout,Closed,Resolved,Rekha/AEE
20260645,Solid Waste (Garbage) Related,Garbage dump,2021-12-15 01:31:00.000000000,Hosahalli,Closed,cleared,Shobha/AEE
20260644,Solid Waste (Garbage) Related,Garbage dump,2021-12-23 04:05:00.000000000,Konanakunte,Closed,Attend the complent,Santhosh Kumar H S/AEE
20260643,Solid Waste (Garbage) Related,Garbage dump,2021-12-23 01:04:00.000000000,Sunkenahalli,Closed,Attended,Ranga Swamy/AEE
20260642,Solid Waste (Garbage) Related,Garbage dump,2021-12-22 08:33:00.000000000,Konanakunte,Closed,Attend the complent,Santhosh Kumar H S/AEE
20260641,Solid Waste (Garbage) Related,Garbage dump,2021-12-22 08:31:00.000000000,Konanakunte,Closed,Attend the complent,Santhosh Kumar H S/AEE
20260640,Solid Waste (Garbage) Related,Garbage dump,2021-12-22 08:30:00.000000000,Konanakunte,Closed,Attend the complent,Santhosh Kumar H S/AEE
20260639,Solid Waste (Garbage) Related,Garbage dump,2021-12-22 07:20:00.000000000,Konanakunte,Closed,Attend the complent,Santhosh Kumar H S/AEE
20260638,Sanitation,No electricity in public toilet(s),2021-12-20 03:44:00.000000000,Nagapura,Closed,Resolved,Rekha/AEE
20260637,CORONA COVID19,Others,2021-12-20 03:31:00.000000000,Yelahanka old Satellite Town,Closed,Closed,Dr.Balchandar/CHO
20260636,CORONA COVID19,Others,2021-12-20 01:21:00.000000000,Benniganahalli,Registered,1st Assignment Based on Ward Mapping,Dr.Balchandar/CHO
20260635,Solid Waste (Garbage) Related,Public dustbins not cleaned,2021-12-20 01:00:00.000000000,Benniganahalli,Rejected,"Rejected , This complaint is not comes under BBMP Limit, Please visit nearest Panchayat office, Thank you.",BBMP Whatsapp/Customer Support Representative
20260634,Solid Waste (Garbage) Related,Garbage dump,2021-12-19 04:40:00.000000000,Gottigere,Closed,Attend the complent,Santhosh Kumar H S/AEE
20260633,Road Maintenance(Engg),Road side drains,2021-12-18 09:37:00.000000000,Jnanabharathi Ward,Closed,"This complaint belongs to the BWSSB, so this complaint will be closed.",Basavaraju/AEE
20260632,Solid Waste (Garbage) Related,Public dustbins not cleaned,2021-12-17 09:37:00.000000000,Pattabhiram Nagar,Closed,Cleared,Shashikala T J/AEE
20260631,Solid Waste (Garbage) Related,Garbage dump,2021-12-17 01:39:00.000000000,Varthur,Closed,Attend,SWM AEE Mahadevapura sub division/AEE
20260630,CORONA COVID19,Others,2021-12-17 12:58:00.000000000,Yelahanka old Satellite Town,Rejected,Complaint is rejected due invalid details -Swacchata,Dr.Balchandar/CHO
20260629,Solid Waste (Garbage) Related,Garbage dump,2021-12-27 04:45:00.000000000,Dodda Bidarkallu,Closed,Attended,Smt Poornima J B/AEE
20260628,Solid Waste (Garbage) Related,Sweeping not done,2021-12-27 11:21:00.000000000,Sampangiram Nagar,Closed,Closed,Abhilash/AEE
20260627,Road Maintenance(Engg),Debris Removal / Construction Material,2021-12-26 02:18:00.000000000,Konanakunte,Closed,Resolved,VEERASH ALADAKATTI /AEE
20260626,Solid Waste (Garbage) Related,Garbage dump,2021-12-26 10:31:00.000000000,Bellandur,Closed,Attend,SWM AEE Mahadevapura sub division/AEE
